URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,OriginalPrice (in Rs),DiscountAmount,DiscountedAmount,DiscountOffer(%),SizeOption,Ratings,Reviews,High/Low Discount,,,1),Calculate the overall average original price for products with ratings greater than 4.
https://www.myntra.com/tops/harpa/harpa-women-pink-printed-wrap-top/8986005/buy,8986005,Harpa,Western,tops,Women,harpa women pink printed wrap top,1199,623.48,575,52,"S, M, L, XL",4,987,High Discount,,,,
https://www.myntra.com/jackets/sassafras/sassafras-women-blue-solid-denim-jacket/10604500/buy,10604500,SASSAFRAS,Western,jackets,Women,sassafras women blue solid denim jacket,1799,1169.35,629,65,"XS, S, M, L, XL, XXL",4.3,987,High Discount,,,,
https://www.myntra.com/jeans/roadster/roadster-women-stunning-blue-boyfriend-fit-jeans/11045880/buy,11045880,Roadster,Western,jeans,Women,roadster women stunning blue boyfriend fit jeans,2499,1874.25,624,75,"26, 28, 30, 32, 34, 36",3.7,987,High Discount,,,,
https://www.myntra.com/tshirts/kook-n-keech-marvel/kook-n-keech-marvel-women-red-printed-polo-collar-pure-cotton-t-shirt/8912653/buy,8912653,Kook N Keech Marvel,Western,tshirts,Women,kook n keech marvel women red printed polo collar pure cotton t shirt,899,584.35,314,65,"XS, S, M, L, XL",3.9,987,High Discount,,,,
https://www.myntra.com/jeans/roadster/roadster-men-blue-slim-fit-mid-rise-mildly-distressed-stretchable-jeans/10064487/buy,10064487,Roadster,Bottom Wear,jeans,Men,roadster men blue slim fit mid rise mildly distressed stretchable jeans,2199,1209.45,989,55,"28, 30, 32, 34, 36",3.7,986,High Discount,,,,
https://www.myntra.com/shirts/highlander/highlander-men-white-slim-fit-solid-casual-shirt/2888727/buy,2888727,HIGHLANDER,Topwear,shirts,Men,highlander men white slim fit solid casual shirt,1249,661.97,587,53,"39, 40, 42, 44",4.1,986,High Discount,,,,
https://www.myntra.com/tops/pluss/pluss-black-a-line-crop-pure-cotton-top/12150560/buy,12150560,plusS,Plus Size,tops,Women,pluss black a line crop pure cotton top,1599,1039.35,559,65,"S, M, L, XL, XXL, 3XL, 4XL",4.4,986,High Discount,,,,
https://www.myntra.com/dresses/la-zoire/la-zoire-maroon-georgette-maxi-dress/2337104/buy,2337104,La Zoire,Western,dresses,Women,la zoire maroon georgette maxi dress,2599,1611.38,987,62,"S, M, L, XL",4.3,986,High Discount,,,,
https://www.myntra.com/shirts/highlander/highlander-men-black--white-slim-fit-striped-casual-shirt/12027772/buy,12027772,HIGHLANDER,Topwear,shirts,Men,highlander men black  white slim fit striped casual shirt,1049,555.97,493,53,"39, 40, 42, 44",4.2,985,High Discount,,,,
https://www.myntra.com/shirts/highlander/highlander-men-navy--off-white-slim-fit-checked-casual-shirt/2429098/buy,2429098,HIGHLANDER,Topwear,shirts,Men,highlander men navy  off white slim fit checked casual shirt,999,299.7,699,30,"39, 40, 42, 44",4,985,Low Discount,,,,
https://www.myntra.com/kurtas/anayna/anayna-women-beige--pink-screen-print-straight-kurta/11530828/buy,11530828,anayna,Indian Wear,kurtas,Women,anayna women beige  pink screen print straight kurta,1660,1079,581,65,"S, M, L, XL, XXL, 3XL",4.3,985,High Discount,,,,
https://www.myntra.com/bra/enamor/enamor-white-non-wired-non-padded-full-coverage-everyday-bra-ab75-/130968/buy,130968,Enamor,Lingerie & Sleep Wear,bra,Women,enamor white non wired non padded full coverage everyday bra ab75 ,779,342.76,436,44,"34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D, 40B, 40C, 40D, 42B, 42C, 42D",4.4,985,Low Discount,,,,
https://www.myntra.com/kurta-sets/sangria/sangria-women-fuchsia--white-layered-printed-kurta-with-trousers/8350055/buy,8350055,Sangria,Plus Size,kurta-sets,Women,sangria women fuchsia  white layered printed kurta with trousers,4499,1574.65,2924,35,"XS, S, M, L, XL, XXL, 3XL",4,985,Low Discount,,,,
https://www.myntra.com/tops/roadster/the-roadster-lifestyle-co-women-black-striped-top/10856472/buy,10856472,Roadster,Western,tops,Women,the roadster lifestyle co women black striped top,1499,899.4,599,60,"XS, S, M, L, XL",4,985,High Discount,,,,
https://www.myntra.com/shirts/roadster/roadster-men-blue-faded-denim-casual-sustainable-shirt/6687412/buy,6687412,Roadster,Topwear,shirts,Men,roadster men blue faded denim casual sustainable shirt,999,519.48,479,52,"38, 40, 42, 44, 46, 48",4,984,High Discount,,,,
https://www.myntra.com/dresses/sangria/sangria-teal-blue--coral-pink-floral-print-a-line-dress/11174094/buy,11174094,Sangria,Indian Wear,dresses,Women,sangria teal blue  coral pink floral print a line dress,1999,1199.4,799,60,"XS, S, M, L, XL, XXL, 3XL",4.3,984,High Discount,,,,
https://www.myntra.com/kurta-sets/azira/azira-women-green-printed-kurta-with-palazzos--dupatta/13141478/buy,13141478,Azira,Indian Wear,kurta-sets,Women,azira women green printed kurta with palazzos  dupatta,2599,1169.55,1429,45,"XS, S, M, L, XL, XXL, 3XL",4.2,984,Low Discount,,,,
https://www.myntra.com/tshirts/roadster/roadster-women-mustard-yellow-solid-round-neck-t-shirt/2439141/buy,2439141,Roadster,Western,tshirts,Women,roadster women mustard yellow solid round neck t shirt,599,359.4,239,60,"XS, S, M, L, XL",4.2,984,High Discount,,,,
https://www.myntra.com/shirts/roadster/roadster-men-maroon-pure-cotton-sustainable-casual-shirt/11903990/buy,11903990,Roadster,Topwear,shirts,Men,roadster men maroon pure cotton sustainable casual shirt,1199,539.55,659,45,"38, 40, 42, 44",4.2,983,Low Discount,,,,
https://www.myntra.com/kurta-sets/anouk/anouk-women-green-printed-kurti-with-dhoti-pants/12337118/buy,12337118,Anouk,Indian Wear,kurta-sets,Women,anouk women green printed kurti with dhoti pants,3099,2324.25,774,75,"XS, S, M, L, XL, XXL",4.2,983,High Discount,,,,
https://www.myntra.com/tops/herenow/herenow-women-blue-schifilli-embroidered-pure-cotton-top/12650884/buy,12650884,HERE&NOW,Plus Size,tops,Women,herenow women blue schifilli embroidered pure cotton top,1799,1079.4,719,60,"XS, S, M, L, XL, XXL",4.2,983,High Discount,,,,
https://www.myntra.com/kurtas/sangria/sangria-women-green--yellow-printed-straight-kurta/8350425/buy,8350425,Sangria,Plus Size,kurtas,Women,sangria women green  yellow printed straight kurta,3999,2999.25,999,75,"XS, S, M, L, XL, XXL, 3XL",4.2,983,High Discount,,,,
https://www.myntra.com/tshirts/roadster/roadster-women-set-of-2-printed-t-shirts/17381750/buy,17381750,Roadster,Western,tshirts,Women,roadster women set of 2 printed t shirts,1998,1058.94,939,53,"XS, S, M, L, XL",4.2,983,High Discount,,,,
https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-mid-rise-clean-look-stretchable-jeans/6832275/buy,6832275,WROGN,Bottom Wear,jeans,Men,wrogn men blue slim fit mid rise clean look stretchable jeans,2799,1259.55,1539,45,"28, 30, 32, 34, 36, 38",3.9,982,Low Discount,,,,
https://www.myntra.com/shirts/roadster/roadster-men-grey-printed-pure-cotton-sustainable-casual-shirt/7256007/buy,7256007,Roadster,Topwear,shirts,Men,roadster men grey printed pure cotton sustainable casual shirt,524,272.48,251,52,"38, 40, 42, 44",4.1,982,High Discount,,,,
https://www.myntra.com/trousers/tokyo-talkies/tokyo-talkies-women-maroon-regular-fit-solid-parallel-trousers/13035312/buy,13035312,Tokyo Talkies,Western,trousers,Women,tokyo talkies women maroon regular fit solid parallel trousers,1549,898.42,650,58,"28, 30, 32, 34",4,982,High Discount,,,,
https://www.myntra.com/jeans/roadster/roadster-women-stunning-blue-boyfriend-fit-stretchable-jeans/11045892/buy,11045892,Roadster,Western,jeans,Women,roadster women stunning blue boyfriend fit stretchable jeans,2699,2024.25,674,75,"26, 28, 30, 32, 34, 36",3.8,982,High Discount,,,,
https://www.myntra.com/tops/taavi/taavi-white--orange-hand-block-print-smocked-legacy-sustainable-pure-cotton-a-line-top/11157486/buy,11157486,Taavi,Western,tops,Women,taavi white  orange hand block print smocked legacy sustainable pure cotton a line top,999,449.55,549,45,"XS, S, M, L, XL",4.4,982,Low Discount,,,,
https://www.myntra.com/tshirts/wrogn/wrogn-men-navy-blue-striped-slim-fit-cotton-pure-cotton-t-shirt/11363302/buy,11363302,WROGN,Topwear,tshirts,Men,wrogn men navy blue striped slim fit cotton pure cotton t shirt,1299,649.5,649,50,"S, M, L, XL, XXL",4.3,981,Low Discount,,,,
https://www.myntra.com/kurtas/varanga/varanga-women-mustard-yellow-solid-straight-kurta-with-thread-work/12412864/buy,12412864,Varanga,Indian Wear,kurtas,Women,varanga women mustard yellow solid straight kurta with thread work,1999,1419.29,579,71,"S, M, L, XL, XXL",4.3,981,High Discount,,,,
https://www.myntra.com/shapewear/zivame/zivame-women-grey-tummy--thigh-shaper-zi0pssan03agrey/7569310/buy,7569310,Zivame,Lingerie & Sleep Wear,shapewear,Women,zivame women grey tummy  thigh shaper zi0pssan03agrey,995,248.75,746,25,"S, M, L, XL, XXL",3.9,981,Low Discount,,,,
